epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.91,1.40841,1.99057,1.50824,0.31081,0.25873,0.22369,0.1241,1.64323,2.099,1.77962,0.000332606,0.000332606,0.000332606
2,409.814,1.46259,1.89442,1.56549,0.23831,0.22401,0.17334,0.08996,1.67037,3.06658,1.77263,0.000652753,0.000652753,0.000652753
3,606.466,1.47027,1.87331,1.56799,0.31354,0.26569,0.25153,0.14426,1.57159,1.90084,1.71057,0.000959701,0.000959701,0.000959701
4,801.398,1.47178,1.84502,1.56481,0.31847,0.2721,0.23885,0.13458,1.61264,1.8965,1.71201,0.0009406,0.0009406,0.0009406
5,996.63,1.40804,1.75066,1.52678,0.35857,0.32006,0.29544,0.18005,1.47696,1.70847,1.59141,0.0009208,0.0009208,0.0009208
6,1191.23,1.39376,1.6962,1.51269,0.41738,0.31952,0.32714,0.19947,1.4671,1.6434,1.57434,0.000901,0.000901,0.000901
7,1386.53,1.36192,1.64271,1.49025,0.30884,0.26989,0.21252,0.11893,1.64175,2.4936,1.762,0.0008812,0.0008812,0.0008812
8,1580.77,1.33589,1.58651,1.47567,0.42947,0.33737,0.3544,0.22846,1.3615,1.59331,1.53461,0.0008614,0.0008614,0.0008614
9,1777.37,1.34393,1.56114,1.46912,0.37551,0.30125,0.30264,0.18253,1.45518,1.79392,1.59552,0.0008416,0.0008416,0.0008416
10,1971.07,1.31183,1.49776,1.45016,0.44453,0.32333,0.33818,0.22118,1.33269,1.5797,1.4808,0.0008218,0.0008218,0.0008218
11,2165.55,1.29283,1.46546,1.43975,0.406,0.34056,0.32988,0.20732,1.36926,1.67624,1.50791,0.000802,0.000802,0.000802
12,2360.03,1.3011,1.43987,1.43705,0.47364,0.39632,0.41219,0.26596,1.33369,1.37105,1.46793,0.0007822,0.0007822,0.0007822
13,2555.78,1.30398,1.42724,1.43129,0.50098,0.38321,0.41016,0.26377,1.29506,1.42001,1.43371,0.0007624,0.0007624,0.0007624
14,2749.96,1.28647,1.40584,1.41942,0.50536,0.40895,0.43504,0.28572,1.27915,1.30021,1.42123,0.0007426,0.0007426,0.0007426
15,2944.55,1.27369,1.35934,1.41172,0.52122,0.38653,0.42132,0.27681,1.28836,1.33213,1.42333,0.0007228,0.0007228,0.0007228
16,3140.41,1.25149,1.36089,1.41497,0.50658,0.39315,0.41606,0.27209,1.32079,1.27436,1.43413,0.000703,0.000703,0.000703
17,3334.58,1.24298,1.34078,1.40509,0.52704,0.38324,0.43093,0.28623,1.27402,1.33789,1.42336,0.0006832,0.0006832,0.0006832
18,3531.65,1.23945,1.31757,1.39067,0.49057,0.40892,0.4376,0.29389,1.22641,1.29866,1.38134,0.0006634,0.0006634,0.0006634
19,3725.76,1.23518,1.28573,1.38785,0.54409,0.41852,0.47175,0.31313,1.26045,1.18043,1.40017,0.0006436,0.0006436,0.0006436
20,3920.42,1.23046,1.2782,1.3868,0.52238,0.43888,0.46911,0.31804,1.20646,1.19,1.35852,0.0006238,0.0006238,0.0006238
21,4112.55,1.23399,1.2543,1.38195,0.5373,0.41799,0.46887,0.31912,1.22614,1.21939,1.38154,0.000604,0.000604,0.000604
22,4305.35,1.22028,1.22904,1.37148,0.53117,0.4316,0.4687,0.31727,1.20606,1.19776,1.35815,0.0005842,0.0005842,0.0005842
23,4495.82,1.20822,1.22297,1.37107,0.5146,0.45208,0.48362,0.32357,1.25719,1.15983,1.37835,0.0005644,0.0005644,0.0005644
24,4686.27,1.21645,1.20871,1.37248,0.53533,0.43897,0.47952,0.33055,1.18959,1.1729,1.34885,0.0005446,0.0005446,0.0005446
25,4876.91,1.21663,1.19571,1.3633,0.53233,0.43495,0.48319,0.33135,1.20463,1.1563,1.35417,0.0005248,0.0005248,0.0005248
26,5065.8,1.18747,1.18657,1.35382,0.5475,0.44303,0.49114,0.32905,1.22458,1.15486,1.361,0.000505,0.000505,0.000505
27,5253.93,1.18309,1.16987,1.35667,0.55382,0.43946,0.4866,0.33322,1.18511,1.13916,1.342,0.0004852,0.0004852,0.0004852
28,5442.17,1.16476,1.13985,1.34511,0.55554,0.44596,0.5015,0.34617,1.1864,1.10319,1.33167,0.0004654,0.0004654,0.0004654
29,5632.1,1.18383,1.13693,1.34586,0.54921,0.47123,0.50758,0.35225,1.16173,1.08054,1.31915,0.0004456,0.0004456,0.0004456
30,5824.88,1.15728,1.10889,1.33484,0.55859,0.42119,0.47911,0.32811,1.1898,1.11596,1.32477,0.0004258,0.0004258,0.0004258
31,6014.14,1.15663,1.10254,1.33374,0.57546,0.46637,0.52072,0.35523,1.18744,1.07777,1.32379,0.000406,0.000406,0.000406
32,6203.54,1.15658,1.09007,1.32975,0.56742,0.45805,0.51333,0.35454,1.17091,1.06731,1.32395,0.0003862,0.0003862,0.0003862
33,6392.55,1.17178,1.07848,1.33301,0.56853,0.44622,0.5098,0.34849,1.19641,1.07891,1.32295,0.0003664,0.0003664,0.0003664
34,6581.08,1.17181,1.07881,1.33154,0.54874,0.47332,0.50666,0.34899,1.18543,1.08205,1.32256,0.0003466,0.0003466,0.0003466
35,6770.71,1.14334,1.04044,1.3149,0.58676,0.45623,0.52033,0.35954,1.16697,1.06604,1.31398,0.0003268,0.0003268,0.0003268
36,6959.21,1.13186,1.04611,1.31356,0.56883,0.46512,0.51913,0.36113,1.16613,1.04644,1.3067,0.000307,0.000307,0.000307
37,7148.29,1.12522,1.01983,1.30763,0.60231,0.45951,0.52787,0.36983,1.14732,1.02275,1.29669,0.0002872,0.0002872,0.0002872
38,7339.37,1.13189,1.01966,1.30731,0.55016,0.48421,0.52907,0.36318,1.17335,1.04636,1.31561,0.0002674,0.0002674,0.0002674
39,7529.83,1.13133,1.00585,1.3061,0.60549,0.4458,0.52863,0.36162,1.178,1.0416,1.31368,0.0002476,0.0002476,0.0002476
40,7722.92,1.11473,0.9877,1.29521,0.59277,0.46627,0.53418,0.37014,1.15027,1.01838,1.29015,0.0002278,0.0002278,0.0002278
41,7919.61,1.12909,0.94964,1.3149,0.60966,0.46423,0.52919,0.36562,1.15255,0.99462,1.29374,0.000208,0.000208,0.000208
42,8107.81,1.11235,0.92068,1.3069,0.58303,0.46911,0.52382,0.36325,1.16475,1.01911,1.30721,0.0001882,0.0001882,0.0001882
43,8295.49,1.1106,0.90942,1.30939,0.58694,0.47008,0.53589,0.37325,1.15135,1.013,1.30768,0.0001684,0.0001684,0.0001684
44,8484.26,1.10056,0.89479,1.30516,0.58113,0.49148,0.53462,0.37254,1.15114,0.99819,1.29211,0.0001486,0.0001486,0.0001486
45,8674.74,1.08994,0.86835,1.29142,0.61557,0.4733,0.54569,0.38092,1.1415,0.99111,1.29026,0.0001288,0.0001288,0.0001288
46,8862.02,1.06369,0.85041,1.27426,0.604,0.4767,0.53757,0.3722,1.1596,1.00207,1.2967,0.000109,0.000109,0.000109
47,9051.94,1.07603,0.84524,1.28617,0.59764,0.49134,0.53874,0.37679,1.144,0.99275,1.29687,8.92e-05,8.92e-05,8.92e-05
48,9240.25,1.07247,0.83355,1.27761,0.60265,0.49387,0.54038,0.38009,1.13224,0.98815,1.28796,6.94e-05,6.94e-05,6.94e-05
